c2,continent
AD,EUROPE
AE,ASIA
AF,ASIA
AG,AMERICA
AI,AMERICA
AL,EUROPE
AM,ASIA
AN,AMERICA
AO,AF
AP,ASIA
AQ,AN
AR,AMERICA
AS,ASIA
AT,EUROPE
AU,ASIA
AW,AMERICA
AX,EUROPE
AZ,ASIA
BA,EUROPE
BB,AMERICA
BD,ASIA
BE,EUROPE
BF,AF
BG,EUROPE
BH,ASIA
BI,AF
BJ,AF
BL,AMERICA
BM,AMERICA
BN,ASIA
BO,AMERICA
BR,AMERICA
BS,AMERICA
BT,ASIA
BV,AN
BW,AF
BY,EUROPE
BZ,AMERICA
CA,AMERICA
CC,ASIA
CD,AF
CF,AF
CG,AF
CH,EUROPE
CI,AF
CK,ASIA
CL,AMERICA
CM,AF
CN,ASIA
CO,AMERICA
CR,AMERICA
CU,AMERICA
CV,AF
CX,ASIA
CY,ASIA
CZ,EUROPE
DE,EUROPE
DJ,AF
DK,EUROPE
DM,AMERICA
DO,AMERICA
DZ,AF
EC,AMERICA
EE,EUROPE
EG,AF
EH,AF
ER,AF
ES,EUROPE
ET,AF
EUROPE,EUROPE
FI,EUROPE
FJ,ASIA
FK,AMERICA
FM,ASIA
FO,EUROPE
FR,EUROPE
FX,EUROPE
GA,AF
GB,EUROPE
GD,AMERICA
GE,ASIA
GF,AMERICA
GG,EUROPE
GH,AF
GI,EUROPE
GL,AMERICA
GM,AF
GN,AF
GP,AMERICA
GQ,AF
GR,EUROPE
GS,AN
GT,AMERICA
GU,ASIA
GW,AF
GY,AMERICA
HK,ASIA
HM,AN
HN,AMERICA
HR,EUROPE
HT,AMERICA
HU,EUROPE
ID,ASIA
IE,EUROPE
IL,ASIA
IM,EUROPE
IN,ASIA
IO,ASIA
IQ,ASIA
IR,ASIA
IS,EUROPE
IT,EUROPE
JE,EUROPE
JM,AMERICA
JO,ASIA
JP,ASIA
KE,AF
KG,ASIA
KH,ASIA
KI,ASIA
KM,AF
KN,AMERICA
KP,ASIA
KR,ASIA
KW,ASIA
KY,AMERICA
KZ,ASIA
LA,ASIA
LB,ASIA
LC,AMERICA
LI,EUROPE
LK,ASIA
LR,AF
LS,AF
LT,EUROPE
LU,EUROPE
LV,EUROPE
LY,AF
MA,AF
MC,EUROPE
MD,EUROPE
ME,EUROPE
MF,AMERICA
MG,AF
MH,ASIA
MK,EUROPE
ML,AF
MM,ASIA
MN,ASIA
MO,ASIA
MP,ASIA
MQ,AMERICA
MR,AF
MS,AMERICA
MT,EUROPE
MU,AF
MV,ASIA
MW,AF
MX,AMERICA
MY,ASIA
MZ,AF
AMERICA,AF
NC,ASIA
NE,AF
NF,ASIA
NG,AF
NI,AMERICA
NL,EUROPE
NO,EUROPE
NP,ASIA
NR,ASIA
NU,ASIA
NZ,ASIA
O1,--
OM,ASIA
PA,AMERICA
PE,AMERICA
PF,ASIA
PG,ASIA
PH,ASIA
PK,ASIA
PL,EUROPE
PM,AMERICA
PN,ASIA
PR,AMERICA
PS,ASIA
PT,EUROPE
PW,ASIA
PY,AMERICA
QA,ASIA
RE,AF
RO,EUROPE
RS,EUROPE
RU,EUROPE
RW,AF
AMERICA,ASIA
SB,ASIA
SC,AF
SD,AF
SE,EUROPE
SG,ASIA
SH,AF
SI,EUROPE
SJ,EUROPE
SK,EUROPE
SL,AF
SM,EUROPE
SN,AF
SO,AF
SR,AMERICA
ST,AF
SV,AMERICA
SY,ASIA
SZ,AF
TC,AMERICA
TD,AF
TF,AN
TG,AF
TH,ASIA
TJ,ASIA
TK,ASIA
TL,ASIA
TM,ASIA
TN,AF
TO,ASIA
TR,EUROPE
TT,AMERICA
TV,ASIA
TW,ASIA
TZ,AF
UA,EUROPE
UG,AF
UM,ASIA
US,AMERICA
UY,AMERICA
UZ,ASIA
VA,EUROPE
VC,AMERICA
VE,AMERICA
VG,AMERICA
VI,AMERICA
VN,ASIA
VU,ASIA
WF,ASIA
WS,ASIA
YE,ASIA
YT,AF
ZA,AF
ZM,AF
ZW,AF